CMDLINE C:\Users\Adriaan\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe word_filter.py
MEM 279.601562 1688407734.2890
MEM 279.601562 1688407734.3896
MEM 279.867188 1688407734.4902
MEM 279.867188 1688407734.5907
MEM 279.871094 1688407734.6914
MEM 279.871094 1688407734.7920
MEM 279.871094 1688407734.8927
MEM 279.871094 1688407734.9931
MEM 279.871094 1688407735.0937
MEM 279.871094 1688407735.1942
MEM 279.871094 1688407735.2949
MEM 279.871094 1688407735.3953
MEM 279.609375 1688407735.4960
MEM 279.609375 1688407735.5966
MEM 279.609375 1688407735.6972
MEM 279.609375 1688407735.7979
MEM 279.609375 1688407735.8982
MEM 279.609375 1688407735.9987
MEM 279.609375 1688407736.0993
MEM 279.609375 1688407736.1999
MEM 279.609375 1688407736.3005
MEM 279.613281 1688407736.4012
MEM 279.613281 1688407736.5017
MEM 279.613281 1688407736.6025
MEM 279.613281 1688407736.7032
MEM 279.613281 1688407736.8037
MEM 279.613281 1688407736.9043
MEM 279.613281 1688407737.0051
MEM 279.613281 1688407737.1057
MEM 279.613281 1688407737.2063
MEM 279.617188 1688407737.3098
MEM 279.617188 1688407737.5151
MEM 279.617188 1688407737.6231
MEM 279.617188 1688407737.7232
MEM 279.617188 1688407737.8235
MEM 279.617188 1688407737.9239
MEM 279.617188 1688407738.0242
MEM 279.617188 1688407738.1245
MEM 279.617188 1688407738.2251
MEM 279.617188 1688407738.3253
MEM 279.617188 1688407738.4256
MEM 279.617188 1688407738.5261
MEM 279.617188 1688407738.6264
MEM 279.617188 1688407738.7270
MEM 279.617188 1688407738.8275
MEM 279.617188 1688407738.9281
MEM 279.617188 1688407739.0287
MEM 279.621094 1688407739.1290
MEM 279.621094 1688407739.2337
MEM 279.621094 1688407739.3352
MEM 279.671875 1688407739.4381
MEM 279.671875 1688407739.5387
MEM 279.671875 1688407739.6391
MEM 279.671875 1688407739.7395
MEM 279.671875 1688407739.8402
MEM 279.671875 1688407739.9409
MEM 279.671875 1688407740.0414
MEM 279.671875 1688407740.1420
MEM 279.671875 1688407740.2426
MEM 279.671875 1688407740.3432
MEM 279.671875 1688407740.4437
MEM 279.675781 1688407740.5443
MEM 279.675781 1688407740.6449
MEM 279.675781 1688407740.7452
MEM 279.675781 1688407740.8458
MEM 279.675781 1688407740.9464
MEM 279.675781 1688407741.0472
MEM 279.675781 1688407741.1579
MEM 279.675781 1688407741.2588
MEM 279.675781 1688407741.3593
MEM 279.675781 1688407741.4599
MEM 279.675781 1688407741.5605
MEM 279.679688 1688407741.6612
MEM 279.679688 1688407741.7618
MEM 279.679688 1688407741.8630
MEM 279.679688 1688407741.9635
MEM 279.679688 1688407742.0640
MEM 279.679688 1688407742.1646
MEM 279.679688 1688407742.2652
MEM 279.679688 1688407742.3659
MEM 279.679688 1688407742.4666
MEM 279.683594 1688407742.5672
MEM 279.683594 1688407742.6678
MEM 279.683594 1688407742.7682
MEM 279.683594 1688407742.8688
MEM 279.683594 1688407742.9695
MEM 279.683594 1688407743.0703
MEM 279.683594 1688407743.1709
MEM 279.683594 1688407743.2715
MEM 279.683594 1688407743.3723
MEM 279.687500 1688407743.4730
MEM 279.687500 1688407743.5735
MEM 279.988281 1688407743.6739
MEM 279.988281 1688407743.7744
MEM 279.988281 1688407743.8750
MEM 279.988281 1688407743.9756
MEM 279.988281 1688407744.0762
MEM 279.988281 1688407744.1769
MEM 279.988281 1688407744.2774
MEM 279.988281 1688407744.3780
MEM 279.992188 1688407744.4787
MEM 279.992188 1688407744.5791
MEM 279.687500 1688407744.6797
MEM 279.687500 1688407744.7803
MEM 279.687500 1688407744.8809
MEM 279.687500 1688407744.9815
MEM 279.687500 1688407745.0819
MEM 279.687500 1688407745.1825
MEM 279.687500 1688407745.2831
MEM 279.687500 1688407745.3837
MEM 279.687500 1688407745.4840
MEM 279.691406 1688407745.5845
MEM 279.691406 1688407745.6850
MEM 279.691406 1688407745.7856
MEM 279.691406 1688407745.8863
MEM 279.691406 1688407745.9867
MEM 279.691406 1688407746.0873
MEM 279.691406 1688407746.1879
MEM 279.691406 1688407746.2885
MEM 279.691406 1688407746.3890
MEM 279.691406 1688407746.4897
MEM 279.691406 1688407746.5919
MEM 279.695312 1688407746.6924
MEM 279.695312 1688407746.7929
MEM 279.695312 1688407746.8934
MEM 279.695312 1688407746.9939
MEM 279.695312 1688407747.0945
MEM 279.695312 1688407747.1951
MEM 279.695312 1688407747.2957
MEM 279.695312 1688407747.3968
MEM 279.695312 1688407747.4973
MEM 279.695312 1688407747.5980
MEM 279.695312 1688407747.6986
MEM 279.695312 1688407747.7989
MEM 279.699219 1688407747.8995
MEM 279.699219 1688407748.0000
MEM 279.699219 1688407748.1006
MEM 279.699219 1688407748.2012
MEM 279.699219 1688407748.3015
MEM 279.699219 1688407748.4021
MEM 279.699219 1688407748.5027
MEM 279.699219 1688407748.6033
MEM 279.699219 1688407748.7040
MEM 279.699219 1688407748.8046
MEM 279.699219 1688407748.9051
MEM 279.699219 1688407749.0055
MEM 279.703125 1688407749.1060
MEM 279.703125 1688407749.2065
MEM 279.703125 1688407749.3073
MEM 279.703125 1688407749.4079
MEM 279.703125 1688407749.5083
MEM 279.703125 1688407749.6088
MEM 279.703125 1688407749.7099
MEM 279.703125 1688407749.8100
MEM 279.703125 1688407749.9105
MEM 279.703125 1688407750.0111
MEM 279.703125 1688407750.1117
MEM 279.703125 1688407750.2123
MEM 279.703125 1688407750.3131
MEM 279.707031 1688407750.4137
MEM 279.707031 1688407750.5142
MEM 279.707031 1688407750.6148
MEM 279.707031 1688407750.7153
MEM 279.707031 1688407750.8159
MEM 279.707031 1688407750.9165
MEM 279.707031 1688407751.0172
MEM 279.707031 1688407751.1178
MEM 279.707031 1688407751.2183
MEM 279.707031 1688407751.3189
MEM 279.707031 1688407751.4192
MEM 279.710938 1688407751.5196
MEM 279.710938 1688407751.6202
MEM 279.710938 1688407751.7207
MEM 279.710938 1688407751.8214
MEM 279.710938 1688407751.9218
MEM 279.710938 1688407752.0221
MEM 279.710938 1688407752.1226
MEM 279.710938 1688407752.2232
MEM 279.710938 1688407752.3238
MEM 279.710938 1688407752.4244
MEM 279.710938 1688407752.5251
MEM 279.710938 1688407752.6257
MEM 279.714844 1688407752.7263
MEM 279.714844 1688407752.8270
MEM 279.714844 1688407752.9275
MEM 279.714844 1688407753.0279
MEM 279.714844 1688407753.1284
MEM 279.714844 1688407753.2290
MEM 279.714844 1688407753.3295
MEM 279.714844 1688407753.4302
MEM 279.714844 1688407753.5307
MEM 279.714844 1688407753.6313
MEM 279.714844 1688407753.7320
MEM 279.718750 1688407753.8325
MEM 279.718750 1688407753.9330
MEM 279.718750 1688407754.0337
MEM 279.718750 1688407754.1340
MEM 279.718750 1688407754.2345
MEM 279.718750 1688407754.3350
MEM 279.718750 1688407754.4355
MEM 279.718750 1688407754.5364
MEM 279.718750 1688407754.6370
MEM 280.054688 1688407754.7376
MEM 280.054688 1688407754.8380
MEM 280.054688 1688407754.9386
MEM 280.054688 1688407755.0393
MEM 280.058594 1688407755.1399
MEM 280.058594 1688407755.2405
MEM 280.058594 1688407755.3411
MEM 280.058594 1688407755.4417
MEM 280.058594 1688407755.5423
MEM 280.058594 1688407755.6432
MEM 279.722656 1688407755.7434
MEM 279.722656 1688407755.8442
MEM 279.722656 1688407755.9448
MEM 279.722656 1688407756.0454
MEM 279.726562 1688407756.1461
MEM 279.726562 1688407756.2468
MEM 279.726562 1688407756.3475
MEM 279.726562 1688407756.4480
MEM 279.726562 1688407756.5489
MEM 279.726562 1688407756.6495
MEM 279.726562 1688407756.7501
MEM 279.726562 1688407756.8507
MEM 279.726562 1688407756.9511
MEM 279.726562 1688407757.0515
MEM 279.726562 1688407757.1525
MEM 279.726562 1688407757.2528
MEM 279.726562 1688407757.3534
MEM 279.730469 1688407757.4540
MEM 279.730469 1688407757.5545
MEM 279.730469 1688407757.6551
MEM 279.730469 1688407757.7556
MEM 279.730469 1688407757.8562
MEM 279.730469 1688407757.9566
MEM 279.730469 1688407758.0574
MEM 279.730469 1688407758.1580
MEM 279.730469 1688407758.2585
MEM 279.730469 1688407758.3591
MEM 279.730469 1688407758.4594
MEM 279.734375 1688407758.5600
MEM 279.734375 1688407758.6606
MEM 279.734375 1688407758.7611
MEM 279.734375 1688407758.8617
MEM 279.734375 1688407758.9623
MEM 279.734375 1688407759.0626
MEM 279.734375 1688407759.1631
MEM 279.734375 1688407759.2635
MEM 279.734375 1688407759.3641
MEM 279.734375 1688407759.4647
MEM 279.734375 1688407759.5652
MEM 279.734375 1688407759.6658
MEM 279.738281 1688407759.7665
MEM 279.738281 1688407759.8672
MEM 279.738281 1688407759.9674
MEM 279.738281 1688407760.0680
MEM 279.738281 1688407760.1686
MEM 279.738281 1688407760.2703
MEM 279.738281 1688407760.3708
MEM 279.738281 1688407760.4713
MEM 279.738281 1688407760.5718
MEM 279.738281 1688407760.6725
MEM 279.738281 1688407760.7731
MEM 279.742188 1688407760.8736
MEM 279.742188 1688407760.9744
MEM 279.742188 1688407761.0747
MEM 279.742188 1688407761.1753
MEM 279.742188 1688407761.2758
MEM 279.742188 1688407761.3764
MEM 279.742188 1688407761.4769
MEM 279.742188 1688407761.5773
MEM 279.804688 1688407761.6779
MEM 279.804688 1688407761.7784
MEM 279.804688 1688407761.8790
MEM 279.804688 1688407761.9797
MEM 279.804688 1688407762.0804
MEM 279.804688 1688407762.1809
MEM 279.808594 1688407762.2815
MEM 279.808594 1688407762.3821
MEM 279.808594 1688407762.4827
MEM 279.808594 1688407762.5833
MEM 279.808594 1688407762.6838
MEM 279.808594 1688407762.7844
MEM 279.808594 1688407762.8849
MEM 279.808594 1688407762.9854
MEM 279.808594 1688407763.0859
MEM 279.808594 1688407763.1865
MEM 279.808594 1688407763.2871
MEM 279.808594 1688407763.3874
MEM 279.808594 1688407763.4881
MEM 279.808594 1688407763.5888
MEM 279.812500 1688407763.6894
MEM 279.812500 1688407763.7899
MEM 279.812500 1688407763.8908
MEM 279.812500 1688407763.9910
MEM 279.812500 1688407764.0916
MEM 279.812500 1688407764.1922
MEM 279.812500 1688407764.2928
MEM 279.812500 1688407764.3933
MEM 279.812500 1688407764.4938
MEM 279.812500 1688407764.5944
MEM 279.812500 1688407764.6950
MEM 279.812500 1688407764.7955
MEM 279.812500 1688407764.8959
MEM 279.812500 1688407764.9963
MEM 279.812500 1688407765.0966
MEM 279.812500 1688407765.1972
MEM 279.816406 1688407765.2978
MEM 279.816406 1688407765.3984
MEM 279.816406 1688407765.4989
MEM 279.816406 1688407765.5995
MEM 279.816406 1688407765.7000
MEM 279.816406 1688407765.8003
MEM 279.816406 1688407765.9008
MEM 279.816406 1688407766.0013
MEM 279.816406 1688407766.1018
MEM 279.816406 1688407766.2025
MEM 279.816406 1688407766.3032
MEM 279.816406 1688407766.4038
MEM 279.816406 1688407766.5045
MEM 279.816406 1688407766.6048
MEM 279.816406 1688407766.7054
MEM 279.816406 1688407766.8065
MEM 279.816406 1688407766.9075
MEM 279.816406 1688407767.0078
MEM 279.820312 1688407767.1082
MEM 279.820312 1688407767.2088
MEM 279.820312 1688407767.3093
MEM 279.820312 1688407767.4099
MEM 279.820312 1688407767.5104
MEM 279.820312 1688407767.6110
MEM 279.820312 1688407767.7116
MEM 279.820312 1688407767.8119
MEM 279.820312 1688407767.9125
MEM 279.820312 1688407768.0128
MEM 279.820312 1688407768.1155
MEM 279.820312 1688407768.2161
MEM 279.820312 1688407768.3167
MEM 279.820312 1688407768.4172
MEM 279.820312 1688407768.5197
MEM 279.820312 1688407768.6208
MEM 279.820312 1688407768.7213
MEM 279.820312 1688407768.8219
MEM 279.824219 1688407768.9225
MEM 279.824219 1688407769.0228
MEM 279.824219 1688407769.1234
MEM 279.824219 1688407769.2240
MEM 279.789062 1688407769.3246
MEM 280.167969 1688407769.4252
MEM 280.167969 1688407769.5257
MEM 280.167969 1688407769.6263
MEM 280.167969 1688407769.7269
MEM 280.167969 1688407769.8275
MEM 280.167969 1688407769.9280
MEM 280.167969 1688407770.0286
MEM 280.167969 1688407770.1291
MEM 280.171875 1688407770.2296
MEM 280.171875 1688407770.3302
MEM 279.792969 1688407770.4309
MEM 279.792969 1688407770.5315
MEM 279.792969 1688407770.6322
MEM 279.792969 1688407770.7329
MEM 279.792969 1688407770.8336
MEM 279.792969 1688407770.9342
MEM 279.792969 1688407771.0345
MEM 279.792969 1688407771.1356
MEM 279.792969 1688407771.2362
MEM 279.792969 1688407771.3368
MEM 279.792969 1688407771.4379
MEM 279.796875 1688407771.5384
MEM 279.796875 1688407771.6391
MEM 279.796875 1688407771.7396
MEM 279.796875 1688407771.8399
MEM 279.796875 1688407771.9405
MEM 279.796875 1688407772.0412
MEM 279.796875 1688407772.1417
MEM 279.796875 1688407772.2423
MEM 279.796875 1688407772.3429
MEM 279.796875 1688407772.4434
MEM 279.796875 1688407772.5441
MEM 279.796875 1688407772.6447
MEM 279.796875 1688407772.7453
MEM 279.796875 1688407772.8461
MEM 279.800781 1688407772.9464
MEM 279.800781 1688407773.0467
MEM 279.800781 1688407773.1474
MEM 279.800781 1688407773.2481
MEM 279.800781 1688407773.3487
MEM 279.800781 1688407773.4493
MEM 279.800781 1688407773.5499
MEM 279.800781 1688407773.6505
MEM 279.800781 1688407773.7511
MEM 279.800781 1688407773.8518
MEM 279.800781 1688407773.9526
MEM 279.800781 1688407774.0534
MEM 279.800781 1688407774.1540
MEM 279.800781 1688407774.2546
MEM 279.804688 1688407774.3550
MEM 279.804688 1688407774.4556
MEM 279.804688 1688407774.5562
MEM 279.804688 1688407774.6567
MEM 279.804688 1688407774.7573
MEM 279.804688 1688407774.8579
MEM 279.804688 1688407774.9584
MEM 279.804688 1688407775.0588
MEM 279.804688 1688407775.1594
MEM 279.804688 1688407775.2600
MEM 279.804688 1688407775.3606
MEM 279.804688 1688407775.4612
MEM 279.804688 1688407775.5617
MEM 279.804688 1688407775.6623
MEM 279.804688 1688407775.7628
MEM 279.804688 1688407775.8633
MEM 279.808594 1688407775.9637
MEM 279.808594 1688407776.0642
MEM 279.808594 1688407776.1648
MEM 279.808594 1688407776.2654
MEM 279.808594 1688407776.3660
MEM 279.808594 1688407776.4666
MEM 279.808594 1688407776.5672
MEM 279.808594 1688407776.6676
MEM 279.808594 1688407776.7682
MEM 279.808594 1688407776.8687
MEM 279.808594 1688407776.9693
MEM 279.808594 1688407777.0700
MEM 279.808594 1688407777.1705
MEM 279.808594 1688407777.2712
MEM 279.812500 1688407777.3719
MEM 279.812500 1688407777.4725
MEM 279.812500 1688407777.5729
MEM 279.812500 1688407777.6736
MEM 279.812500 1688407777.7742
MEM 279.812500 1688407777.8750
MEM 279.812500 1688407777.9755
MEM 279.812500 1688407778.0760
MEM 279.812500 1688407778.1766
MEM 279.812500 1688407778.2772
MEM 279.812500 1688407778.3778
MEM 279.812500 1688407778.4784
MEM 279.812500 1688407778.5790
MEM 279.812500 1688407778.6796
MEM 279.812500 1688407778.7801
MEM 279.816406 1688407778.8808
MEM 279.816406 1688407778.9812
MEM 279.816406 1688407779.0817
MEM 279.816406 1688407779.1823
MEM 279.816406 1688407779.2829
MEM 279.816406 1688407779.3839
MEM 279.816406 1688407779.4844
MEM 279.816406 1688407779.5849
MEM 279.816406 1688407779.6852
MEM 279.816406 1688407779.7862
MEM 279.816406 1688407779.8869
MEM 279.816406 1688407779.9874
MEM 279.816406 1688407780.0880
MEM 279.816406 1688407780.1887
MEM 279.816406 1688407780.2893
MEM 279.816406 1688407780.3899
MEM 279.820312 1688407780.4905
MEM 279.820312 1688407780.5911
MEM 279.820312 1688407780.6917
MEM 279.820312 1688407780.7924
MEM 279.820312 1688407780.8929
MEM 279.820312 1688407780.9936
MEM 279.820312 1688407781.0942
MEM 279.820312 1688407781.1947
MEM 279.820312 1688407781.2953
MEM 279.820312 1688407781.3955
MEM 279.820312 1688407781.4963
MEM 279.820312 1688407781.5968
MEM 279.820312 1688407781.6974
MEM 279.824219 1688407781.7980
MEM 279.824219 1688407781.8986
MEM 279.824219 1688407781.9990
MEM 279.824219 1688407782.0995
MEM 279.824219 1688407782.2001
MEM 279.824219 1688407782.3005
MEM 279.824219 1688407782.4011
MEM 279.824219 1688407782.5016
MEM 279.824219 1688407782.6023
MEM 279.824219 1688407782.7029
MEM 279.824219 1688407782.8034
MEM 279.824219 1688407782.9041
MEM 279.824219 1688407783.0046
MEM 279.824219 1688407783.1049
MEM 279.824219 1688407783.2055
MEM 279.824219 1688407783.3062
MEM 279.828125 1688407783.4068
MEM 279.828125 1688407783.5072
MEM 279.828125 1688407783.6077
MEM 279.828125 1688407783.7083
MEM 279.828125 1688407783.8089
MEM 279.828125 1688407783.9096
MEM 279.828125 1688407784.0101
MEM 279.828125 1688407784.1105
MEM 279.828125 1688407784.2111
MEM 279.828125 1688407784.3117
MEM 279.828125 1688407784.4122
MEM 279.828125 1688407784.5128
MEM 279.828125 1688407784.6133
MEM 279.828125 1688407784.7139
MEM 279.828125 1688407784.8145
MEM 279.828125 1688407784.9151
MEM 279.828125 1688407785.0154
MEM 279.832031 1688407785.1159
MEM 279.832031 1688407785.2166
MEM 279.832031 1688407785.3171
MEM 279.832031 1688407785.4177
MEM 279.832031 1688407785.5183
MEM 279.832031 1688407785.6190
MEM 279.832031 1688407785.7198
MEM 279.832031 1688407785.8204
MEM 279.832031 1688407785.9210
MEM 279.832031 1688407786.0217
MEM 279.832031 1688407786.1223
MEM 279.832031 1688407786.2229
MEM 279.832031 1688407786.3235
MEM 279.832031 1688407786.4241
MEM 279.832031 1688407786.5247
MEM 279.835938 1688407786.6253
MEM 279.835938 1688407786.7259
MEM 279.835938 1688407786.8264
MEM 279.835938 1688407786.9270
MEM 279.835938 1688407787.0275
MEM 279.835938 1688407787.1280
MEM 279.835938 1688407787.2286
MEM 280.261719 1688407787.3292
MEM 280.261719 1688407787.4298
MEM 280.261719 1688407787.5304
MEM 280.261719 1688407787.6310
MEM 280.261719 1688407787.7316
MEM 280.261719 1688407787.8322
MEM 280.261719 1688407787.9327
MEM 280.261719 1688407788.0332
MEM 280.261719 1688407788.1339
MEM 280.261719 1688407788.2345
MEM 279.839844 1688407788.3352
MEM 279.839844 1688407788.4355
MEM 279.839844 1688407788.5361
MEM 279.839844 1688407788.6366
MEM 279.839844 1688407788.7372
MEM 279.839844 1688407788.8378
MEM 279.839844 1688407788.9383
MEM 279.839844 1688407789.0387
MEM 279.839844 1688407789.1393
MEM 279.839844 1688407789.2398
MEM 279.839844 1688407789.3404
MEM 279.839844 1688407789.4411
MEM 279.839844 1688407789.5414
MEM 279.839844 1688407789.6421
